Bid_ID,Seller_Email,Listing_ID,Bidder_Email,Bid_Price
101,alillecrop1u@about.com,197.0,scallinan19@lsu.edu,3000
102,alillecrop1u@about.com,197.0,oguerreo@lsu.edu,3100
113,alillecrop1u@about.com,197.0,gbenezet2b@lsu.edu,3300
179,alillecrop1u@about.com,197.0,hblouetof@lsu.edu,3500
200,alillecrop1u@about.com,197.0,scallinan19@lsu.edu,3550
214,ofumagalliqv@lsu.edu,193.0,bwelbelovept@lsu.edu,30
220,ofumagalliqv@lsu.edu,193.0,jgeddesoj@lsu.edu,51
223,ofumagalliqv@lsu.edu,193.0,kbearcockns@lsu.edu,52
270,ofumagalliqv@lsu.edu,193.0,mwythemu@lsu.edu,60
300,ofumagalliqv@lsu.edu,193.0,tdomingues1a@lsu.edu,70
127,dairthno@lsu.edu,2257.0,iwickmannmv@lsu.edu,80
305,dairthno@lsu.edu,2257.0,iwickmannmv@lsu.edu,85
400,emillhill6q@lsu.edu,927.0,lrosel28@lsu.edu,280
403,emillhill6q@lsu.edu,927.0,gleddie3a@lsu.edu,305
406,emillhill6q@lsu.edu,927.0,lrosel28@lsu.edu,306
410,emillhill6q@lsu.edu,927.0,gleddie3a@lsu.edu,310
21,pslidders4f@lsu.edu,1773.0,alemar2@lsu.edu,80
25,pslidders4f@lsu.edu,1773.0,dsinkinson8@lsu.edu,125
28,pslidders4f@lsu.edu,1773.0,ctowllf@lsu.edu,150
32,abartoszek16@reuters.com,1173.0,rgurnera@lsu.edu,80
35,abartoszek16@reuters.com,1173.0,agirodond@lsu.edu,82
39,abartoszek16@reuters.com,1173.0,rgurnera@lsu.edu,90
40,abartoszek16@reuters.com,1173.0,tmushartn@lsu.edu,100
55,dairthno@lsu.edu,2257.0,bhubbucke3k@lsu.edu,100
57,dairthno@lsu.edu,2257.0,awanstall3l@lsu.edu,140
59,dairthno@lsu.edu,2257.0,zcallis3n@lsu.edu,180
61,wspadelli8j@lsu.edu,2517.0,mdrache3p@lsu.edu,290
62,wspadelli8j@lsu.edu,2517.0,ashutt3r@lsu.edu,300
65,wspadelli8j@lsu.edu,2517.0,mdrache3p@lsu.edu,301
70,dabelson7x@lsu.edu,363.0,dsquelch3t@lsu.edu,2000
72,dabelson7x@lsu.edu,363.0,ikneesha3v@lsu.edu,3000
74,dabelson7x@lsu.edu,363.0,dsquelch3t@lsu.edu,4100
75,dabelson7x@lsu.edu,363.0,sgeratasch3x@lsu.edu,4500
79,dabelson7x@lsu.edu,363.0,dsquelch3t@lsu.edu,4890
80,dabelson7x@lsu.edu,363.0,vgreatorex3z@lsu.edu,4678
82,wsemechikci@lsu.edu,864.0,mreeves46@lsu.edu,1100
83,wsemechikci@lsu.edu,864.0,tkorting48@lsu.edu,1150
89,wsemechikci@lsu.edu,864.0,atythacott4a@lsu.edu,1200
90,rburtwistler8@lsu.edu,999.0,kbouzek4d@lsu.edu,380
92,rburtwistler8@lsu.edu,999.0,pslidders4f@lsu.edu,400
94,rburtwistler8@lsu.edu,999.0,cthumann4h@lsu.edu,412
96,rburtwistler8@lsu.edu,999.0,gdowtry4j@lsu.edu,413
99,rburtwistler8@lsu.edu,999.0,tinch4k@lsu.edu,420
120,ctelezhking7@lsu.edu,1176.0,tbice4s@lsu.edu,100
125,ctelezhking7@lsu.edu,1176.0,myork4u@lsu.edu,1500
130,ctelezhking7@lsu.edu,1176.0,gmackall4z@lsu.edu,1750
134,ctelezhking7@lsu.edu,1176.0,jcory4w@lsu.edu,1767
135,dabelson7x@lsu.edu,2117.0,mriddler55@lsu.edu,4255
140,dabelson7x@lsu.edu,2117.0,cjaquiss58@lsu.edu,4268
141,dabelson7x@lsu.edu,2117.0,kgedney5c@lsu.edu,4300
150,cpennettalf@lsu.edu,1248.0,landrysek5f@lsu.edu,20
152,cpennettalf@lsu.edu,1248.0,oleishman5g@lsu.edu,22
153,cpennettalf@lsu.edu,1248.0,landrysek5f@lsu.edu,24
1155,kfeeney30@lsu.edu,2545.0,abattrick5k@lsu.edu,10
